nome_munip,pop_munip,total_casos,taxa_casos_100mil,porte_populacional
SÃO JOÃO DO MANTENINHA,5975,0,0.00,Pequeno porte
BRASÍLIA DE MINAS,32460,0,0.00,Médio porte
PEÇANHA,17534,0,0.00,Pequeno porte
LAGOA DOURADA,13115,0,0.00,Pequeno porte
TIRADENTES,8160,0,0.00,Pequeno porte
RIO ESPERA,5332,0,0.00,Pequeno porte
PIRANGUINHO,8683,0,0.00,Pequeno porte
BOM JESUS DA PENHA,4270,0,0.00,Pequeno porte
BRUMADINHO,41208,0,0.00,Médio porte
ITAGUARA,13510,0,0.00,Pequeno porte
TOLEDO,6336,0,0.00,Pequeno porte
SARZEDO,34050,0,0.00,Médio porte
OURO PRETO,74824,0,0.00,Médio porte
PATIS,6031,0,0.00,Pequeno porte
ÁGUAS VERMELHAS,13656,0,0.00,Pequeno porte
MURIAÉ,109997,0,0.00,Grande porte
ESPÍRITO SANTO DO DOURADO,4728,0,0.00,Pequeno porte
SÃO GONÇALO DO RIO ABAIXO,11114,0,0.00,Pequeno porte
PIEDADE DOS GERAIS,5034,0,0.00,Pequeno porte
JORDÂNIA,10872,0,0.00,Pequeno porte
PATOS DE MINAS,154641,0,0.00,Grande porte
SÃO JOSÉ DO ALEGRE,4222,0,0.00,Pequeno porte
SÃO THOMÉ DAS LETRAS,7151,0,0.00,Pequeno porte
CONCEIÇÃO DAS ALAGOAS,28782,0,0.00,Médio porte
CANDEIAS,14890,0,0.00,Pequeno porte
LIBERDADE,4994,0,0.00,Pequeno porte
ENTRE FOLHAS,5383,0,0.00,Pequeno porte
CONSELHEIRO LAFAIETE,130584,0,0.00,Grande porte
SETUBINHA,12493,0,0.00,Pequeno porte
NANUQUE,40583,0,0.00,Médio porte
PIRAJUBA,6491,0,0.00,Pequeno porte
PAINS,8308,0,0.00,Pequeno porte
SÃO JOÃO DA LAGOA,4949,0,0.00,Pequeno porte
GURINHATÃ,5516,0,0.00,Pequeno porte
CACHOEIRA DOURADA,2720,0,0.00,Pequeno porte
ARAÚJOS,9523,0,0.00,Pequeno porte
FAMA,2374,0,0.00,Pequeno porte
PIRAÚBA,10732,0,0.00,Pequeno porte
BERILO,11813,0,0.00,Pequeno porte
GUANHÃES,34818,0,0.00,Médio porte
IBIÁ,25511,0,0.00,Médio porte
MUTUM,26945,0,0.00,Médio porte
JANAÚBA,72374,0,0.00,Médio porte
IPUIÚNA,10156,0,0.00,Pequeno porte
CARMÉSIA,2660,0,0.00,Pequeno porte
CORONEL MURTA,9209,0,0.00,Pequeno porte
RECREIO,10522,0,0.00,Pequeno porte
CAPUTIRA,9318,0,0.00,Pequeno porte
BARÃO DE MONTE ALTO,5311,0,0.00,Pequeno porte
TAQUARAÇU DE MINAS,4120,0,0.00,Pequeno porte
JURUAIA,10795,0,0.00,Pequeno porte
DURANDÉ,7898,0,0.00,Pequeno porte
CARBONITA,9423,0,0.00,Pequeno porte
SÃO JOÃO DA PONTE,25033,0,0.00,Médio porte
SANTA RITA DO ITUETO,5426,0,0.00,Pequeno porte
BOCAIÚVA,50521,0,0.00,Médio porte
SARDOÁ,6421,0,0.00,Pequeno porte
NOVA RESENDE,16937,0,0.00,Pequeno porte
SÃO JOSÉ DA LAPA,24490,0,0.00,Médio porte
ARAPONGA,8467,0,0.00,Pequeno porte
BUENÓPOLIS,10342,0,0.00,Pequeno porte
QUELUZITO,1948,0,0.00,Pequeno porte
MIRAVÂNIA,4939,0,0.00,Pequeno porte
SANTANA DO MANHUAÇU,8660,0,0.00,Pequeno porte
JEQUERI,12246,0,0.00,Pequeno porte
CAMPO DO MEIO,11648,0,0.00,Pequeno porte
CAMPO FLORIDO,8383,0,0.00,Pequeno porte
EXTREMA,37649,0,0.00,Médio porte
ARAGUARI,118361,0,0.00,Grande porte
SÃO SEBASTIÃO DO RIO PRETO,1478,0,0.00,Pequeno porte
SÃO VICENTE DE MINAS,7876,0,0.00,Pequeno porte
ERVÁLIA,19019,0,0.00,Pequeno porte
CAMBUQUIRA,12810,0,0.00,Pequeno porte
MATEUS LEME,31631,0,0.00,Médio porte
ALFREDO VASCONCELOS,7052,0,0.00,Pequeno porte
AUGUSTO DE LIMA,4833,0,0.00,Pequeno porte
SÃO GONÇALO DO ABAETÉ,8527,0,0.00,Pequeno porte
ITAMOGI,10122,0,0.00,Pequeno porte
PRADOS,9128,0,0.00,Pequeno porte
DORES DO TURVO,4202,0,0.00,Pequeno porte
CONCEIÇÃO DE IPANEMA,4581,0,0.00,Pequeno porte
BELA VISTA DE MINAS,10269,0,0.00,Pequeno porte
ALÉM PARAÍBA,35438,0,0.00,Médio porte
IJACI,6667,0,0.00,Pequeno porte
SERICITA,7340,0,0.00,Pequeno porte
BOM DESPACHO,51436,0,0.00,Médio porte
LUISBURGO,6249,0,0.00,Pequeno porte
BICAS,14612,0,0.00,Pequeno porte
JENIPAPO DE MINAS,7781,0,0.00,Pequeno porte
ANDRELÂNDIA,12189,0,0.00,Pequeno porte
ITACARAMBI,18175,0,0.00,Pequeno porte
SÃO TIAGO,10979,0,0.00,Pequeno porte
SANTANA DE PIRAPAMA,7538,0,0.00,Pequeno porte
ALVORADA DE MINAS,3605,0,0.00,Pequeno porte
BOCAINA DE MINAS,5088,0,0.00,Pequeno porte
ANTÔNIO DIAS,9233,0,0.00,Pequeno porte
PONTO CHIQUE,4305,0,0.00,Pequeno porte
SÃO JOSÉ DA BARRA,7532,0,0.00,Pequeno porte
CLÁUDIO,29093,0,0.00,Médio porte
SENADOR CORTES,2001,0,0.00,Pequeno porte
SANTA FÉ DE MINAS,3806,0,0.00,Pequeno porte
CAMPO AZUL,3830,0,0.00,Pequeno porte
CRISTÁLIA,5992,0,0.00,Pequeno porte
CONQUISTA,6997,0,0.00,Pequeno porte
IBITURUNA,3003,0,0.00,Pequeno porte
COUTO DE MAGALHÃES DE MINAS,4436,0,0.00,Pequeno porte
TIROS,6369,0,0.00,Pequeno porte
SETE LAGOAS,243950,0,0.00,Grande porte
SÃO JOÃO DO PACUÍ,4476,0,0.00,Pequeno porte
SANTA CRUZ DE SALINAS,4074,0,0.00,Pequeno porte
BOM SUCESSO,17612,0,0.00,Pequeno porte
ELÓI MENDES,28556,0,0.00,Médio porte
ARCEBURGO,10990,0,0.00,Pequeno porte
SÃO JOSÉ DA VARGINHA,5151,0,0.00,Pequeno porte
MONTE SIÃO,24247,0,0.00,Médio porte
MONTE FORMOSO,4939,0,0.00,Pequeno porte
FORMOSO,9810,0,0.00,Pequeno porte
CRUZEIRO DA FORTALEZA,3651,0,0.00,Pequeno porte
ACAIACA,3995,0,0.00,Pequeno porte
IBIRACI,14128,0,0.00,Pequeno porte
OLIVEIRA FORTES,2128,0,0.00,Pequeno porte
ALPERCATA,7448,0,0.00,Pequeno porte
ÁGUA COMPRIDA,1986,0,0.00,Pequeno porte
SÃO FRANCISCO DO GLÓRIA,4758,0,0.00,Pequeno porte
COROACI,9897,0,0.00,Pequeno porte
TAPIRA,4890,0,0.00,Pequeno porte
PARAGUAÇU,21693,0,0.00,Médio porte
CLARO DOS POÇÕES,7478,0,0.00,Pequeno porte
MONJOLOS,2184,0,0.00,Pequeno porte
PIRAPORA,56845,0,0.00,Médio porte
PASSOS,115970,0,0.00,Grande porte
PARAOPEBA,24854,0,0.00,Médio porte
NOVO ORIENTE DE MINAS,10800,0,0.00,Pequeno porte
SÃO SEBASTIÃO DO RIO VERDE,2259,0,0.00,Pequeno porte
SANTA RITA DE IBITIPOCA,3380,0,0.00,Pequeno porte
CORINTO,23607,0,0.00,Médio porte
SÃO FRANCISCO DE PAULA,6512,0,0.00,Pequeno porte
BOM JESUS DO GALHO,14792,0,0.00,Pequeno porte
BOM JESUS DO AMPARO,6182,0,0.00,Pequeno porte
JAPONVAR,7991,0,0.00,Pequeno porte
JEQUITINHONHA,25555,0,0.00,Médio porte
SANTANA DO PARAÍSO,36048,0,0.00,Médio porte
EUGENÓPOLIS,11383,0,0.00,Pequeno porte
FRUTA DE LEITE,5232,0,0.00,Pequeno porte
COROMANDEL,27958,0,0.00,Médio porte
MARTINHO CAMPOS,13497,0,0.00,Pequeno porte
SANTANA DO JACARÉ,4847,0,0.00,Pequeno porte
BUGRE,3984,0,0.00,Pequeno porte
BELO ORIENTE,27277,0,0.00,Médio porte
SERRO,20915,0,0.00,Médio porte
PASSA QUATRO,16439,0,0.00,Pequeno porte
PALMÓPOLIS,5196,0,0.00,Pequeno porte
LUISLÂNDIA,6735,0,0.00,Pequeno porte
SANTANA DA VARGEM,7047,0,0.00,Pequeno porte
CARANAÍBA,3150,0,0.00,Pequeno porte
DIAMANTINA,47924,0,0.00,Médio porte
RIO NOVO,8964,0,0.00,Pequeno porte
CATUTI,4944,0,0.00,Pequeno porte
MATIPÓ,19098,0,0.00,Pequeno porte
CAMBUÍ,30068,0,0.00,Médio porte
BOM REPOUSO,10527,0,0.00,Pequeno porte
SÃO JOSÉ DO DIVINO,3851,0,0.00,Pequeno porte
PRATA,28173,0,0.00,Médio porte
CARANGOLA,33022,0,0.00,Médio porte
BARÃO DE COCAIS,33232,0,0.00,Médio porte
PIRAPETINGA,10791,0,0.00,Pequeno porte
FERNANDES TOURINHO,3500,0,0.00,Pequeno porte
TUPACIGUARA,25466,0,0.00,Médio porte
JOSÉ GONÇALVES DE MINAS,4474,0,0.00,Pequeno porte
POÇOS DE CALDAS,169838,0,0.00,Grande porte
TRÊS MARIAS,33062,0,0.00,Médio porte
SÃO FRANCISCO DE SALES,6309,0,0.00,Pequeno porte
SÃO ROMÃO,12713,0,0.00,Pequeno porte
FELIXLÂNDIA,15528,0,0.00,Pequeno porte
SÃO JOSÉ DO JACURI,6409,0,0.00,Pequeno porte
PARÁ DE MINAS,95616,0,0.00,Médio porte
JAGUARAÇU,3151,0,0.00,Pequeno porte
RIO CASCA,13384,0,0.00,Pequeno porte
CARRANCAS,4052,0,0.00,Pequeno porte
MANGA,18051,0,0.00,Pequeno porte
JESUÂNIA,4774,0,0.00,Pequeno porte
COLUNA,8810,0,0.00,Pequeno porte
DESTERRO DE ENTRE RIOS,7266,0,0.00,Pequeno porte
LEOPOLDINA,52690,0,0.00,Médio porte
PAULISTAS,4794,0,0.00,Pequeno porte
GUAXUPÉ,52234,0,0.00,Médio porte
DIVINÉSIA,3430,0,0.00,Pequeno porte
SÃO GOTARDO,36084,0,0.00,Médio porte
PESCADOR,4261,0,0.00,Pequeno porte
ENGENHEIRO NAVARRO,7240,0,0.00,Pequeno porte
FRANCISCÓPOLIS,5287,0,0.00,Pequeno porte
SALTO DA DIVISA,7014,0,0.00,Pequeno porte
PEDRA AZUL,24333,0,0.00,Médio porte
LIMEIRA DO OESTE,7640,0,0.00,Pequeno porte
SANTA CRUZ DO ESCALVADO,4693,0,0.00,Pequeno porte
GUARANI,8926,0,0.00,Pequeno porte
CRUZÍLIA,15529,0,0.00,Pequeno porte
ARICANDUVA,5305,0,0.00,Pequeno porte
CANA VERDE,5585,0,0.00,Pequeno porte
RAPOSOS,16501,0,0.00,Pequeno porte
BALDIM,7780,0,0.00,Pequeno porte
COQUEIRAL,9099,0,0.00,Pequeno porte
MATERLÂNDIA,4415,0,0.00,Pequeno porte
CONGONHAL,12209,0,0.00,Pequeno porte
ALPINÓPOLIS,20059,0,0.00,Médio porte
SANTA ROSA DA SERRA,3364,0,0.00,Pequeno porte
CALDAS,14600,0,0.00,Pequeno porte
TABULEIRO,3669,0,0.00,Pequeno porte
ANGELÂNDIA,8594,0,0.00,Pequeno porte
ITUIUTABA,105818,0,0.00,Grande porte
SÃO JOÃO DA MATA,2743,0,0.00,Pequeno porte
ARACITABA,2056,0,0.00,Pequeno porte
GONZAGA,6184,0,0.00,Pequeno porte
CAPELA NOVA,4616,0,0.00,Pequeno porte
SÃO GONÇALO DO PARÁ,12776,0,0.00,Pequeno porte
SANTO ANTÔNIO DO AVENTUREIRO,3602,0,0.00,Pequeno porte
CARMÓPOLIS DE MINAS,19756,0,0.00,Pequeno porte
MERCÊS,10775,0,0.00,Pequeno porte
JACINTO,12320,0,0.00,Pequeno porte
NAQUE,7104,0,0.00,Pequeno porte
ABADIA DOS DOURADOS,7022,0,0.00,Pequeno porte
GRÃO MOGOL,15943,0,0.00,Pequeno porte
SÃO GERALDO DA PIEDADE,3860,0,0.00,Pequeno porte
CURRAL DE DENTRO,7867,0,0.00,Pequeno porte
GAMELEIRAS,5084,0,0.00,Pequeno porte
PIRANGUÇU,5504,0,0.00,Pequeno porte
ROSÁRIO DA LIMEIRA,4648,0,0.00,Pequeno porte
SÃO JOÃO DEL REI,90897,0,0.00,Médio porte
PIEDADE DO RIO GRANDE,4436,0,0.00,Pequeno porte
CONCEIÇÃO DA BARRA DE MINAS,3939,0,0.00,Pequeno porte
INDIANÓPOLIS,7009,0,0.00,Pequeno porte
CAXAMBU,21566,0,0.00,Médio porte
CLARAVAL,4873,0,0.00,Pequeno porte
SANTA MARIA DO SUAÇUÍ,14607,0,0.00,Pequeno porte
SÃO JOÃO DO MANHUAÇU,11785,0,0.00,Pequeno porte
JUATUBA,27823,0,0.00,Médio porte
BOA ESPERANÇA,40308,0,0.00,Médio porte
PAIVA,1517,0,0.00,Pequeno porte
CHÁCARA,3216,0,0.00,Pequeno porte
SANTOS DUMONT,46357,0,0.00,Médio porte
SANTANA DO DESERTO,3985,0,0.00,Pequeno porte
AÇUCENA,9270,0,0.00,Pequeno porte
SERITINGA,1857,0,0.00,Pequeno porte
RODEIRO,8333,0,0.00,Pequeno porte
DOM CAVATI,5025,0,0.00,Pequeno porte
CAPIM BRANCO,9896,0,0.00,Pequeno porte
SANTANA DO GARAMBÉU,2494,0,0.00,Pequeno porte
IBIRACATU,5340,0,0.00,Pequeno porte
RIO ACIMA,10524,0,0.00,Pequeno porte
CÓRREGO DO BOM JESUS,3685,0,0.00,Pequeno porte
FLORESTAL,7602,0,0.00,Pequeno porte
NOVA BELÉM,3067,0,0.00,Pequeno porte
ITANHANDU,15511,0,0.00,Pequeno porte
GUIMARÂNIA,8168,0,0.00,Pequeno porte
GUIRICEMA,8296,0,0.00,Pequeno porte
SÃO LOURENÇO,46539,0,0.00,Médio porte
MARLIÉRIA,4030,0,0.00,Pequeno porte
CAPARAÓ,5464,0,0.00,Pequeno porte
CATUJI,6206,0,0.00,Pequeno porte
SANTA BÁRBARA,31873,0,0.00,Médio porte
CHALÉ,5695,0,0.00,Pequeno porte
ORIZÂNIA,8138,0,0.00,Pequeno porte
SANTA VITÓRIA,19997,0,0.00,Pequeno porte
SÃO MIGUEL DO ANTA,6949,0,0.00,Pequeno porte
MINAS NOVAS,31509,0,0.00,Médio porte
CARATINGA,93124,0,0.00,Médio porte
SABINÓPOLIS,15364,0,0.00,Pequeno porte
ITUTINGA,3749,0,0.00,Pequeno porte
IRAÍ DE MINAS,7067,0,0.00,Pequeno porte
CEDRO DO ABAETÉ,1150,0,0.00,Pequeno porte
SENADOR FIRMINO,7902,0,0.00,Pequeno porte
NOVA UNIÃO,5739,0,0.00,Pequeno porte
POTÉ,16675,0,0.00,Pequeno porte
MONTE SANTO DE MINAS,21504,0,0.00,Médio porte
SÃO PEDRO DA UNIÃO,4563,0,0.00,Pequeno porte
CAMPANHA,16855,0,0.00,Pequeno porte
JUIZ DE FORA,577532,0,0.00,Grande porte
LUMINÁRIAS,5431,0,0.00,Pequeno porte
ALTO CAPARAÓ,5938,0,0.00,Pequeno porte
PATROCÍNIO DO MURIAÉ,5744,0,0.00,Pequeno porte
DIVISÓPOLIS,11396,0,0.00,Pequeno porte
PATROCÍNIO,92116,0,0.00,Médio porte
OLIVEIRA,41987,0,0.00,Médio porte
SANTA MARIA DE ITABIRA,10867,0,0.00,Pequeno porte
MUZAMBINHO,20522,0,0.00,Médio porte
MAMONAS,6565,0,0.00,Pequeno porte
SENADOR AMARAL,5365,0,0.00,Pequeno porte
COMERCINHO,6624,0,0.00,Pequeno porte
PIEDADE DE CARATINGA,8832,0,0.00,Pequeno porte
ESPINOSA,31603,0,0.00,Médio porte
BANDEIRA,4738,0,0.00,Pequeno porte
LAJINHA,19914,0,0.00,Pequeno porte
ICARAÍ DE MINAS,12200,0,0.00,Pequeno porte
CÔNEGO MARINHO,7730,0,0.00,Pequeno porte
