31036011,Prefeitura Municipal de Arantina,PMA,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31037011,Prefeitura Municipal de Araponga,PMA,Local,Administração pública direta,Esgoto
31037511,Prefeitura Municipal de Araporã,PMA,Local,Administração pública direta,Água e Esgoto
31038012,Sistema Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto
31039011,Sanarj Concessionária de Saneamento Básico Ltda,SANARJ,Local,Empresa privada,Água e Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31042011,Prefeitura Municipal de Arcos,PMA,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31044011,Prefeitura Municipal de Argirita,PMA,Local,Administração pública direta,Água e Esgoto
31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31045011,Prefeitura Municipal de Arinos,PMA,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31046011,Prefeitura Municipal de Astolfo Dutra,PMAD,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31048011,Prefeitura Municipal de Augusto de Lima,PMAL,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31049011,Prefeitura Municipal de Baependi,PMB,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31050011,Prefeitura Municipal de Baldim,PMB,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31051011,Prefeitura Municipal de Bambuí,PMB,Local,Administração pública direta,Esgoto
31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
31053011,"Serviço de Água, Esgoto e Limpeza Pública",SAELP,Local,Autarquia,Água e Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31054011,Prefeitura Municipal de Barão de Cocais,PMBC,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31056011,Serviço de Água e Saneamento,SAS,Local,Autarquia,Água e Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31059011,Prefeitura Municipal de Barroso,PMB,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31060011,Prefeitura Municipal de Bela Vista de Minas,PMBVM,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31061011,Prefeitura Municipal de Belmiro Braga,PMBM,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31063011,Prefeitura Municipal de Belo Oriente,PMBO,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31064011,Prefeitura Municipal de Belo Vale,PMBV,Local,Administração pública direta,Esgoto
31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31068011,Prefeitura Municipal de Bias Fortes,PMBF,Local,Administração pública direta,Água e Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31071011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto
31072011,Prefeitura Municipal de Bocaina de Minas,PMBM,Local,Administração pública direta,Água e Esgoto
31073011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31076011,Prefeitura Municipal de Bom Jesus da Penha,PMBJP,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31077011,Prefeitura Municipal de Bom Jesus do Amparo,PMB,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31080011,Águas de Bom Sucesso Ltda,ABS,Local,Empresa privada,Água e Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31082011,Prefeitura Municipal de Bonfinópolis de Minas,PMBM,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
31087011,Prefeitura Municipal de Brás Pires,PMBP,Local,Administração pública direta,Água
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31089011,Prefeitura Municipal de Brasópolis,PMB,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31092511,Prefeitura Municipal de Bugre,PMB,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31094011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água
31094511,Serviço Autônomo de Saneamento de Cabeceira Grande,SANECAB,Local,Autarquia,Água
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31096011,Prefeitura Municipal de Cachoeira da Prata,PMCP,Local,Administração pública direta,Água e Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31097011,Prefeitura Municipal de Cachoeira de Minas,PMCM,Local,Administração pública direta,Esgoto
31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água
31098011,Prefeitura Municipal de Cachoeira Dourada,PMCD,Local,Administração pública direta,Água e Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31099011,Prefeitura Municipal de Caetanópolis,PMC,Local,Administração pública direta,Esgoto
31100011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31101011,Prefeitura Municipal de Caiana,PMC,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31102011,Prefeitura Municipal de Cajuri,PMC,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31106011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31110011,Prefeitura Municipal de Campestre,PMC,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31111511,Prefeitura Municipal de Campo Azul,PMCA,Local,Administração pública direta,Esgoto
31112011,Departamento Municipal de Água e Esgoto,DEMAE,Local,Autarquia,Água e Esgoto
31113011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31115011,Prefeitura Municipal de Campos Altos,PMCA,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31116011,Prefeitura Municipal de Campos Gerais,PMCG,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31119011,Prefeitura Municipal de Cana Verde,PMCV,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31117011,Prefeitura Municipal de Canaã,PMC,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31118011,Prefeitura Municipal de Canápolis,PMC,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31121011,Prefeitura Municipal de Caparaó,PMC,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31122011,Prefeitura Municipal de Capela Nova,PMCN,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31124011,Prefeitura Municipal de Capetinga,PMC,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31126011,Prefeitura Municipal de Capinópolis,PMC,Local,Administração pública direta,Esgoto
31126511,Prefeitura Municipal de Capitão Andrade,PMCA,Local,Administração pública direta,Água e Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31128011,Prefeitura Municipal de Capitólio,PMC,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31129011,Prefeitura Municipal de Caputira,PMC,Local,Administração pública direta,Esgoto
31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
31131011,Prefeitura Municipal de Caranaíba,PMC,Local,Administração pública direta,Água e Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31132011,Prefeitura Municipal de Carandaí,PMC,Local,Administração pública direta,Esgoto
31133011,Serviço Municipal de Saneamento Básico e Infraestrutura,SEMASA,Local,Autarquia,Água e Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31136011,Prefeitura Municipal de Careaçu,PMC,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
31138011,Prefeitura Municipal de Carmésia,PMC,Local,Administração pública direta,Água e Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31140011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto
31141011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto
31142011,Serviço Autarquico de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31145011,Serviço de Saneamento Ambiental Municipal,SESAM,Local,Autarquia,Água e Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31146011,Prefeitura Municipal de Carrancas,PMC,Local,Administração pública direta,Água
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31147011,Prefeitura Municipal de Carvalhópolis,PMC,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31149011,Prefeitura Municipal de Casa Grande,PMCG,Local,Administração pública direta,Água
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31150011,Prefeitura Municipal de Cascalho Rico,PMCR,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31151011,Prefeitura Municipal de Cássia,PMC,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31153511,Prefeitura Municipal de Catas Altas,PMCA,Local,Administração pública direta,Água e Esgoto
31154011,Prefeitura Municipal de Catas Altas da Noruega,PMCAN,Local,Administração pública direta,Água
31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31156011,Prefeitura Municipal de Cedro do Abaeté,PMCA,Local,Administração pública direta,Esgoto
31157011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31159011,Prefeitura Municipal de Chácara,PMC,Local,Administração pública direta,Esgoto
31160011,Prefeitura Municipal de Chalé,PMC,Local,Administração pública direta,Água e Esgoto
31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31163011,Prefeitura Municipal de Cipotânea,PMC,Local,Administração pública direta,Esgoto
31164011,Prefeitura Municipal de Claraval,PMC,Local,Administração pública direta,Água e Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31169011,Prefeitura Municipal de Comendador Gomes,PMCG,Local,Administração pública direta,Esgoto
31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31171011,Prefeitura Municipal de Conceição da Aparecida,PMCA,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31173011,Prefeitura Municipal de Conceição das Alagoas,PMCA,Local,Administração pública direta,Água e Esgoto
31172011,Prefeitura Municipal de Conceição das Pedras,PMCP,Local,Administração pública direta,Água e Esgoto
31174011,Prefeitura Municipal de Conceição de Ipanema,PMCI,Local,Administração pública direta,Água e Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31178011,Prefeitura Municipal de Conceição dos Ouros,PMCO,Local,Administração pública direta,Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31184011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto
31185011,Prefeitura Municipal de Consolação,PMC,Local,Administração pública direta,Água e Esgoto
31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
31187011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto
