-,-,-,-,-,-,-,-,habitante,habitante,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,habitante,1.000 m³/ano,1.000 m³/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano
cod_munip,nome_munip,cod_prestador,nome_prestador,sigla_prestador,abrangencia_prestador,tipo_prestador,tipo_servico,pop_munip,pop_atendida_agua,vol_agua_anual,vol_agua_eta,vol_agua_desinfec,vol_agua_fluor,pop_atendida_esgoto,vol_esgoto_coletado,vol_esgoto_tratado,amostra_cloro,amostra_cloro_irregular,amostra_turbidez,"amostra_turbidez_irregular",amostra_coliformes,amostra_coliformes_irregular
310290,Andradas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,41.704,30.610,"3.042,62","3.042,62",0,"3.042,62",,,,4.731,0,4.879,447,592,5
310300,Andrelândia,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,12.189,9.256,"675,66","675,66",0,"675,66",,,,3.026,9,3.011,7,304,0
310310,Angelândia,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos,8.594,5.122,"245,18","245,18",0,"245,18",5.040,"188,43","175,68",4.580,3,4.580,19,720,0
310320,Antônio Carlos,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,11.471,7.966,"520,64","294,32","226,32","520,64",,,,3.568,1,3.503,0,472,2
310330,Antônio Dias,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,9.233,3.634,"242,03","121,02","121,01","242,03",,,,2.752,2,2.731,0,187,0
310340,Antônio Prado de Minas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,1.577,984,"77,96",0,"77,96","77,96",,,,480,0,489,55,124,2
310350,Araçaí,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,2.360,1.753,"147,06",0,"147,06","147,06",,,,1.015,0,1.015,0,284,0
310360,Aracitaba,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,2.056,1.558,"189,5",0,"189,5","189,5",,,,762,0,745,1,105,1
310370,Araçuaí,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,36.715,23.960,"1.736,15","1.736,15",0,"1.736,15",15.148,"599,89","599,76",7.800,0,7.698,9,446,0
310380,Araguari,31035011,Superintendência de Água e Esgoto,SAE,Local,Autarquia,Água e Esgoto,118.361,118.361,"26.587,00",0,"26.587,00",0,118.361,"15.181,96","14.119,00",8.583,200,8.583,650,8.066,0
