-,-,-,-,-,-,-,-,habitante,habitante,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,habitante,1.000 m³/ano,1.000 m³/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano
cod_munip,nome_munip,cod_prestador,nome_prestador,sigla_prestador,abrangencia_prestador,tipo_prestador,tipo_servico,pop_munip,pop_atendida_agua,vol_agua_anual,vol_agua_eta,vol_agua_desinfec,vol_agua_fluor,pop_atendida_esgoto,vol_esgoto_coletado,vol_esgoto_tratado,amostra_cloro,amostra_cloro_irregular,amostra_turbidez,"amostra_turbidez_irregular",amostra_coliformes,amostra_coliformes_irregular
311990,Cordislândia,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,3.546,2.523,"151,27","151,27",0,"151,27",,,,3.372,0,3.367,0,121,0
311995,Corinto,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,23.607,18.307,"1.456,54","15,38","1.441,16","1.456,54",13.667,"593,8","593,8",1.594,0,2.158,0,823,1
312000,Coroaci,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,9.897,5.197,"307,27","227,77","79,5","307,27",,,,4.600,0,4.519,0,330,0
312010,Coromandel,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,27.958,20.226,"1.813,16","1.813,16",0,"1.813,16",,,,4.219,1,4.214,0,478,1
312015,Coronel Fabriciano,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,110.709,89.505,"9.773,15","6.515,43","3.257,72","9.773,15",85.916,"3.311,72","1.851,49",5.901,1,5.664,497,1.236,0
312020,Coronel Murta,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,9.209,5.291,"288,43","288,43",0,"288,43",3.404,"127,27","127,27",2.482,0,2.485,0,158,0
312040,Coronel Pacheco,31196011,Prefeitura Municipal de Coronel Pacheco,PMCP,Local,Administração pública direta,Água e Esgoto,3.095,2.222,"902,5","254,5","471,6",0,2.222,"95,5",0,4.380,438,4.380,75,12,1
312050,Coronel Xavier Chaves,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,3.448,1.893,"139,71",0,"139,71","139,71",,,,1.237,0,1.229,1,156,0
312060,Córrego Danta,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,3.168,1.842,"161,89","51,78","110,11","161,89",,,,1.378,0,883,0,265,0
312070,Córrego do Bom Jesus,31199011,Prefeitura Municipal de Córrego do Bom Jesus,PMCBJ,Local,Administração pública direta,Água e Esgoto,3.685,3.545,575,370,0,0,976,125,0,232.200,0,2.420,0,780,0
312080,Córrego Fundo,31199511,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto,6.425,5.659,"621,37",0,"621,37",0,4.076,"191,25","191,25",927,25,927,30,313,1
312083,Córrego Novo,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,2.688,1.936,"160,35","160,35",0,"160,35",,,,729,0,661,0,113,0
312087,Couto de Magalhães de Minas,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos,4.436,3.723,"394,02","394,02",0,"394,02",3.385,"159,89","159,89",4.473,2,4.473,6,237,2
312090,Crisólita,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos,6.814,3.834,"179,54","173,61",0,"17,95",3.834,"44,15","44,15",8.854,125,8.854,636,328,0
312100,Cristais,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,13.060,9.847,"657,49","657,49",0,"657,49",,,,7.317,0,7.305,2,340,0
312110,Cristália,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,5.992,2.581,"163,56","163,56",0,"163,56",1.339,"46,45","46,45",1.947,0,1.946,0,133,0
312120,Cristiano Otoni,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,5.161,3.906,"215,54",0,"215,54","215,54",3.051,"106,09",0,1.249,0,1.249,0,112,0
312125,Cristina,31205011,Prefeitura Municipal de Cristina,PMC,Local,Administração pública direta,Água e Esgoto,10.211,10.200,"1.099,00",990,"84,2",0,10.100,800,0,4.392,28,4.320,98,72,4
312130,Crucilândia,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,5.072,3.167,"257,94","257,94",0,"257,94",,,,2.696,0,2.696,0,138,2
312140,Cruzeiro da Fortaleza,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,3.651,3.125,"256,51","130,88","125,63","256,51",,,,4.982,0,4.980,0,224,0
312150,Cruzília,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,15.529,13.380,"753,48","753,48",0,"753,48",12.566,"483,72",0,10.684,0,10.658,2,334,0
312160,Cuparaque,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,5.026,775,"71,06","71,06",0,"71,06",,,,1.663,2,1.663,0,99,0
312170,Curral de Dentro,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,7.867,5.874,"243,71","243,71",0,"243,71",,,,1.569,0,1.569,0,266,0
312180,Curvelo,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,81.085,69.500,"5.956,42","7,35","5.949,07","5.956,42",60.122,"2.431,19","2.431,19",5.690,1,5.853,0,1.508,1
312190,Datas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,5.431,3.242,"157,33",0,"157,33","157,33",,,,518,0,516,0,177,0
312210,Delfim Moreira,31211011,Prefeitura Municipal de Delfim Moreira,PMDM,Local,Administração pública direta,Água e Esgoto,8.007,3.000,560,560,0,0,3.000,310,0,4.428,0,4.528,0,50,0
312220,Delfinópolis,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,7.146,3.801,"346,97","346,97",0,"346,97",3.440,"185,28","181,65",3.815,0,3.801,0,138,0
312230,Delta,31212511,Prefeitura Municipal de Delta,PMD,Local,Administração pública direta,Água e Esgoto,10.994,10.525,"1.350,00",0,"1.350,00",0,10.089,"1.000,00",0,580,8,212,1,1,0
312235,Descoberto,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,5.044,4.083,"440,11","440,11",0,"440,11",,,,2.262,0,2.282,12,127,1
312240,Desterro de Entre Rios,31214011,Prefeitura Municipal de Desterro de Entre Rios,PMDER,Local,Administração pública direta,Água e Esgoto,7.266,4.325,690,310,0,0,3.829,622,0,4.320,118,4.320,38,280,9
312245,Desterro do Melo,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,2.867,1.390,"102,99","102,99",0,"102,99",1.332,"54,15","54,15",1.069,0,929,0,112,0
312247,Diamantina,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,47.924,33.808,"2.424,65","808,22","1.616,43","2.424,65",27.516,"1.102,46","529,75",7.569,8,7.571,342,909,0
312260,Diogo de Vasconcelos,31217011,Prefeitura Municipal de Diogo de Vasconcelos,PMDV,Local,Administração pública direta,Água e Esgoto,3.779,3.325,180,102,0,0,1.581,130,0,2.815,44,2.735,14,146,0
312270,Dionísio,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,7.493,3.539,"280,71","280,71",0,"280,71",,,,2.291,0,2.270,0,109,0
312280,Divinésia,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,3.430,2.282,"176,48","88,24","88,24","176,48",,,,2.008,0,1.988,1,148,1
312290,Divino,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,20.020,10.169,"754,3","754,3",0,"754,3",9.021,"362,7",0,3.998,1,3.998,0,227,0
312300,Divino das Laranjeiras,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,4.969,3.544,"222,03","222,03",0,"222,03",,,,9.271,1,9.232,2,437,0
312310,Divinolândia de Minas,31222011,Serviço Autônomo de Água e Esgoto de Divinolândia de Minas,SAAEDM,Local,Autarquia,Água e Esgoto,7.655,7.200,740,500,240,0,5.100,550,0,8.900,0,10.000,0,130,0
312320,Divinópolis,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,242.505,228.871,"21.047,45","15.785,59","5.261,86","21.047,45",206.723,"8.912,02","384,39",12.432,7,12.423,49,2.653,20
312330,Divisa Alegre,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,6.946,5.825,"308,95",0,"308,95","308,95",,,,971,4,972,3,165,1
312350,Divisa Nova,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,6.039,4.524,"338,18",0,"338,18","338,18",,,,847,0,831,0,133,2
312352,Divisópolis,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,11.396,7.525,"290,37","290,37",0,"290,37",3.169,"79,19","79,19",2.346,0,2.345,1,172,1
312360,Dom Bosco,31224711,Prefeitura Municipal de Dom Bosco,PMDB,Local,Administração pública direta,Água e Esgoto,3.635,3.100,320,300,0,0,1.200,120,0,290,14,311,23,4,0
312370,Dom Cavati,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,5.025,3.988,"338,8","338,8",0,"338,8",,,,2.411,0,2.411,0,99,0
312380,Dom Joaquim,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,4.436,2.538,"230,32","230,32",0,"230,32",,,,2.120,0,2.117,3,163,0
312385,Dom Silvério,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,5.227,4.161,"281,74","281,74",0,"281,74",,,,2.299,0,2.300,1,112,1
312390,Dom Viçoso,31228011,Prefeitura Municipal de Dom Viçoso,PMDV,Local,Administração pública direta,Água e Esgoto,2.992,2.990,"236,3",162,"74,3",0,2.105,81,0,3.650,60,3.650,12,36,0
312400,Dona Eusébia,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,6.664,5.178,"416,53","416,53",0,"416,53",,,,3.661,0,3.627,0,280,0
312410,Dores de Campos,31230011,Prefeitura Municipal de Dores de Campos,PMDC,Local,Administração pública direta,Água e Esgoto,10.291,10.291,"715,52","688,12",0,0,9.359,"551,15",0,4.380,383,108,20,108,24
312420,Dores de Guanhães,31231011,Prefeitura Municipal de Dores de Guanhães,PMD,Local,Administração pública direta,Água,5.139,5.100,"548,95","252,28","252,28",0,,,,5.000,180,5.000,500,100,15
312430,Dores do Indaiá,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,13.373,10.910,"905,97","905,97",0,"905,97",10.393,"474,52","474,52",2.812,1,2.812,0,284,0
312440,Dores do Turvo,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,4.202,2.005,"132,36","132,36",0,"132,36",,,,1.629,1,1.613,2,139,0
312450,Douradoquara,31235011,Prefeitura Municipal de Douradoquara,PMD,Local,Administração pública direta,Água e Esgoto,1.915,1.912,160,0,0,0,1.912,"88,77",0,120,0,120,0,120,0
312460,Durandé,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,7.898,2.611,"117,42","117,42",0,"117,42",,,,2.458,0,2.458,3,93,0
312470,Elói Mendes,31236011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto,28.556,22.477,"2.103,97","2.103,97",0,"2.103,97",22.477,"1.683,17",0,3.892,0,3.892,0,363,0
312480,Engenheiro Caldas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,11.268,6.709,"371,28","371,28",0,"371,28",,,,4.973,98,4.916,92,254,0
312490,Engenheiro Navarro,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,7.240,4.353,"290,53",0,"290,53","290,53",2.639,"90,82","83,72",511,0,511,0,146,0
312500,Entre Folhas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,5.383,3.710,"255,64","255,64",0,"255,64",,,,2.289,0,2.290,2,95,0
312510,Entre Rios de Minas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,15.458,10.606,"818,69","552,51","266,18","818,69",,,,9.792,3,9.794,2,354,0
312520,Ervália,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,19.019,10.034,"795,51","795,51",0,"795,51",,,,4.314,0,4.272,6,269,1
312530,Esmeraldas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,72.512,48.245,"5.320,77","380,06","4.940,71","5.320,77",10.290,"457,54","457,54",9.371,46,9.351,78,864,25
312560,Espera Feliz,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,25.287,15.383,"997,91","997,91",0,"997,91",,,,4.403,0,4.404,0,301,3
312570,Espinosa,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,31.603,18.661,"1.787,22","1.787,22",0,"1.787,22",1.623,"50,26","50,26",8.777,0,8.764,5,960,0
312580,Espírito Santo do Dourado,31244011,Prefeitura Municipal de Espírito Santo do Dourado,PMESD,Local,Administração pública direta,Água e Esgoto,4.728,4.710,"311,4","311,4",0,"311,4",4.710,"249,12",0,4.332,0,4.320,0,204,0
312590,Estiva,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,11.416,5.172,332,0,332,332,,,,2.283,0,2.303,0,212,5
312595,Estrela Dalva,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,2.308,1.585,"155,86",0,"155,86","155,86",,,,817,3,825,0,136,0
312600,Estrela do Indaiá,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,3.483,2.427,"213,93",0,"213,93","213,93",1.799,"87,38",0,253,0,253,0,135,0
312610,Estrela do Sul,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,8.057,5.578,"372,11","312,06","60,05","372,11",2.858,"126,59",0,4.836,0,4.837,5,287,0
312620,Eugenópolis,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,11.383,6.886,"524,53","524,53",0,"524,53",,,,5.623,0,5.633,162,173,3
312630,Ewbank da Câmara,31250011,Prefeitura Municipal de Ewbank da Camara,PMEC,Local,Administração pública direta,Água,3.932,3.752,452,150,150,300,,,,0,0,0,0,0,0
312650,Extrema,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,37.649,30.672,"4.034,72","4.034,72",0,"4.034,72",24.445,"1.648,30","960,88",11.506,1,11.433,0,594,3
312660,Fama,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,2.374,1.519,"174,44","174,44",0,"174,44",796,"59,43",0,2.188,3,2.174,0,110,0
312670,Faria Lemos,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,3.202,2.157,"453,02",0,"453,02","453,02",,,,470,0,470,0,93,0
312675,Felisburgo,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos,7.548,5.312,"341,56","341,56",0,"84,33",4.530,"200,96",0,4.387,1,4.389,0,110,0
312680,Felixlândia,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,15.528,11.391,"767,83","348,77","419,06","767,83",,,,3.749,0,3.751,0,483,0
312690,Fernandes Tourinho,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,3.500,1.802,"119,15","119,15",0,"119,15",,,,675,0,656,0,112,0
312700,Ferros,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,9.576,3.060,"219,96","219,96",0,"219,96",,,,4.468,0,4.443,0,114,0
312705,Fervedouro,31259511,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto,11.100,5.110,618,618,0,618,5.110,300,0,11.250,9,11.250,6,422,3
312707,Florestal,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,7.602,6.124,"550,27","550,27",0,"550,27",,,,4.574,2,4.573,2,171,4
312710,Formiga,31261011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto,67.956,66.597,"6.746,32","5.446,32","1.280,00","5.446,32",62.347,"3.665,08",0,5.394,82,5.392,10,1.347,27
312720,Formoso,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,9.810,5.880,"305,71","161,34","144,37","305,71",,,,2.815,0,2.818,0,291,0
312733,Fortaleza de Minas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,4.460,2.994,"199,91","199,91",0,"199,91",,,,2.556,0,2.543,0,140,0
312735,Francisco Badaró,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água,10.311,4.272,"212,3","205,26","7,04","189,02",,,,4.875,1,4.876,307,454,0
312737,Francisco Dumont,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,5.268,3.318,"212,15","141,43","70,72","212,15",1.337,"46,03","38,88",6.794,0,6.794,0,147,0
312738,Francisco Sá,31267011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto,26.459,15.922,"714,3","549,46","164,84",0,13.970,"457,15","457,15",4.380,0,4.380,0,289,0
312740,Franciscópolis,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,5.287,2.345,"118,06","118,06",0,"118,06",,,,2.297,1,2.290,0,109,0
312750,Frei Gaspar,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos,5.858,2.580,"173,6",0,"173,6",0,2.407,"97,14",0,592,2,593,3,587,0
312760,Frei Inocêncio,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,9.716,6.548,"457,44","457,44",0,"457,44",,,,3.554,0,3.539,0,158,0
312770,Fronteira,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,18.866,14.172,"1.062,35","1.062,35",0,"1.062,35",12.971,"508,37",0,4.490,0,4.488,0,363,0
312780,Fronteira dos Vales,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos,4.542,3.024,"145,03","143,25",0,143,3.024,"81,27","81,27",4.426,2,4.425,0,218,0
312790,Fruta de Leite,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água,5.232,1.963,"148,93",0,"148,93","148,93",,,,1.350,0,596,0,646,0
312800,Frutal,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,60.508,46.157,"3.756,05","3.756,05",0,"3.756,05",46.903,"2.334,80","2.334,80",5.079,1,5.061,0,806,0
312810,Funilândia,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,4.434,2.251,"386,34",0,"386,34","386,34",1.275,"64,96","55,99",899,2,895,1,257,0
312820,Gameleiras,31273311,Prefeitura Municipal de Gameleiras,PMG,Local,Administração pública direta,Água,5.084,4.716,190,0,0,0,,,,0,0,0,0,0,0
312825,Glaucilândia,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,3.177,1.118,"78,89","78,89",0,"78,89",1.092,"32,58","32,58",504,0,504,0,136,0
312830,Goiabeira,31273711,Prefeitura Municipal de Goiabeira,PMG,Local,Administração pública direta,Água e Esgoto,3.402,2.819,150,150,0,0,2.524,"103,2","103,2",4.320,0,4.320,43,100,0
312840,Goianá,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,4.014,3.044,"320,6","320,6",0,"320,6",,,,2.115,0,2.130,14,133,0
312850,Gonçalves,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,4.360,1.216,"150,18","150,18",0,"150,18",511,"43,36","43,36",3.076,0,3.078,10,164,1
312860,Gonzaga,31275011,Prefeitura Municipal de Gonzaga,PMG,Local,Administração pública direta,Água e Esgoto,6.184,4.500,300,250,0,250,3.800,250,0,4.400,5,270.500,60,130,3
312870,Gouveia,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,11.811,8.499,"549,03","549,03",0,"549,03",,,,4.576,0,4.573,0,270,0
312880,Governador Valadares,31277011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto,282.164,280.301,"31.855,21","31.855,21",0,"31.855,21",273.262,"13.323,32",0,2.400,0,2.400,0,2.400,0
312890,Grão Mogol,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,15.943,4.601,"255,77","255,77",0,"255,77",2.768,"85,38","85,38",1.862,0,1.861,0,133,0
312910,Grupiara,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,1.386,1.054,"92,8",0,"92,8","92,8",,,,329,0,321,0,110,0
312920,Guanhães,31280011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto,34.818,28.113,"2.166,35","1.928,30","238,04","2.132,45",28.113,"1.285,00","127,21",8.256,32,9.603,4,2.508,85
312930,Guapé,31281011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto,14.269,14.269,"1.005,00","959,5",0,0,14.269,700,0,9.328,7,9.328,364,672,0
312940,Guaraciaba,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,10.307,3.318,"214,25",0,"214,25","214,25",3.053,"93,65",0,588,0,560,0,126,1
312950,Guaraciama,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,5.005,2.792,"261,28",0,"261,28","261,28",,,,2.074,3,2.049,21,159,6
312960,Guaranésia,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,19.014,16.361,"1.440,73","1.440,73",0,"1.440,73",,,,16.275,2,16.229,5,508,0
312965,Guarani,31284011,Serviço Autônomo de Água e Esgoto de Guarani,SAEG,Local,Autarquia,Água e Esgoto,8.926,7.061,"1.590,00",0,"1.590,00",0,7.061,"1.350,00",0,20,0,20,0,20,3
312970,Guarará,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,3.755,2.988,"226,22","226,22",0,"226,22",,,,3.047,0,3.054,4,131,1
312980,Guarda-Mor,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,6.558,3.505,"291,4","145,7","145,7","291,4",3.351,"168,95","167,96",2.293,0,2.290,0,110,0
312990,Guaxupé,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,52.234,45.932,"3.876,74","3.876,74",0,"3.876,74",43.637,"2.123,37",0,3.990,0,3.916,0,730,0
313000,Guidoval,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,7.026,4.452,"400,14","400,14",0,"400,14",,,,2.096,0,2.060,0,150,0
313005,Guimarânia,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,8.168,6.266,"471,44","471,44",0,"471,44",6.050,"267,08",0,3.686,0,3.686,0,159,0
313010,Guiricema,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,8.296,3.160,257,257,0,257,,,,1.381,0,1.360,163,116,3
313020,Gurinhatã,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,5.516,2.409,"228,62",0,"228,62","228,62",,,,826,0,751,0,249,0
313030,Heliodora,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,6.623,4.700,329,"219,33","109,67",329,,,,6.360,0,6.348,0,130,0
313040,Iapu,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,11.085,7.088,"454,49","454,49",0,"454,49",,,,5.251,0,5.182,0,283,0
313050,Ibertioga,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,4.999,3.328,"222,73","222,73",0,"222,73",,,,2.226,0,2.210,0,146,4
313055,Ibiá,31295011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto,25.511,23.385,"1.757,66","1.757,66",0,"1.718,16",22.163,"1.172,34",0,2.665,13,2.665,28,465,2
313060,Ibiaí,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,8.478,5.507,"427,71","427,71",0,"427,71",2.180,"65,94","65,94",4.211,0,4.210,1,170,3
313065,Ibiracatu,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,5.340,3.128,"154,25",0,"154,25","154,25",,,,1.644,0,1.560,0,539,0
313070,Ibiraci,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,14.128,9.045,"653,04","589,77","63,27","653,04",8.567,"345,51",0,5.103,0,5.067,0,353,0
