nome_munip,vol_esgoto_coletado,vol_esgoto_tratado,volume_esgoto_in_natura,taxa_tratamento_pct,taxa_media_estado_pct
CARMO DA CACHOEIRA,307.67,0.00,307.67,0.00,63.99
SÃO FÉLIX DE MINAS,77.93,0.00,77.93,0.00,63.99
CARMO DE MINAS,947.61,0.00,947.61,0.00,63.99
SANTOS DUMONT,945.43,0.00,945.43,0.00,63.99
SANTANA DOS MONTES,80.00,0.00,80.00,0.00,63.99
SANTANA DO PARAÍSO,1451.93,0.00,1451.93,0.00,63.99
CARVALHOS,79.89,0.00,79.89,0.00,63.99
CONGONHAL,330.22,0.00,330.22,0.00,63.99
SANTANA DO GARAMBÉU,37.00,0.00,37.00,0.00,63.99
CATUJI,96.58,0.00,96.58,0.00,63.99
SANTA RITA DE CALDAS,212.47,0.00,212.47,0.00,63.99
SANTA MARIA DO SUAÇUÍ,218.58,0.00,218.58,0.00,63.99
SANTA MARIA DO SALTO,134.64,0.00,134.64,0.00,63.99
CHALÉ,585.00,0.00,585.00,0.00,63.99
CHAPADA DO NORTE,12.32,0.00,12.32,0.00,63.99
SANTA CRUZ DE MINAS,904.11,0.00,904.11,0.00,63.99
SABINÓPOLIS,667.00,0.00,667.00,0.00,63.99
COMERCINHO,92.85,0.00,92.85,0.00,63.99
SABARÁ,3552.41,0.00,3552.41,0.00,63.99
CONCEIÇÃO DAS ALAGOAS,1451.00,0.00,1451.00,0.00,63.99
CONCEIÇÃO DAS PEDRAS,85.00,0.00,85.00,0.00,63.99
CONCEIÇÃO DE IPANEMA,506.00,0.00,506.00,0.00,63.99
CONCEIÇÃO DO PARÁ,93.60,0.00,93.60,0.00,63.99
ROCHEDO DE MINAS,350.00,0.00,350.00,0.00,63.99
CONGONHAS,1542.29,0.00,1542.29,0.00,63.99
RIO DO PRADO,93.64,0.00,93.64,0.00,63.99
RIO CASCA,310.31,0.00,310.31,0.00,63.99
CONSOLAÇÃO,41.00,0.00,41.00,0.00,63.99
RIO ACIMA,628.00,0.00,628.00,0.00,63.99
REDUTO,280.22,0.00,280.22,0.00,63.99
RAUL SOARES,814.02,0.00,814.02,0.00,63.99
QUELUZITO,32.00,0.00,32.00,0.00,63.99
QUARTEL GERAL,34.86,0.00,34.86,0.00,63.99
CORONEL PACHECO,95.50,0.00,95.50,0.00,63.99
CÓRREGO DO BOM JESUS,125.00,0.00,125.00,0.00,63.99
PRESIDENTE BERNARDES,55.60,0.00,55.60,0.00,63.99
PRATINHA,140.00,0.00,140.00,0.00,63.99
PRATÁPOLIS,743.12,0.00,743.12,0.00,63.99
POTÉ,190.90,0.00,190.90,0.00,63.99
CRISTIANO OTONI,106.09,0.00,106.09,0.00,63.99
CRISTINA,800.00,0.00,800.00,0.00,63.99
CRUZÍLIA,483.72,0.00,483.72,0.00,63.99
PONTE NOVA,2694.14,0.00,2694.14,0.00,63.99
DELFIM MOREIRA,310.00,0.00,310.00,0.00,63.99
POCRANE,900.00,0.00,900.00,0.00,63.99
DELTA,1000.00,0.00,1000.00,0.00,63.99
DESTERRO DE ENTRE RIOS,622.00,0.00,622.00,0.00,63.99
PIRAPETINGA,326.83,0.00,326.83,0.00,63.99
DIOGO DE VASCONCELOS,130.00,0.00,130.00,0.00,63.99
DIVINO,362.70,0.00,362.70,0.00,63.99
DIVINOLÂNDIA DE MINAS,550.00,0.00,550.00,0.00,63.99
DOM BOSCO,120.00,0.00,120.00,0.00,63.99
DOM VIÇOSO,81.00,0.00,81.00,0.00,63.99
DORES DE CAMPOS,551.15,0.00,551.15,0.00,63.99
PIRACEMA,330.00,0.00,330.00,0.00,63.99
DOURADOQUARA,88.77,0.00,88.77,0.00,63.99
ELÓI MENDES,1683.17,0.00,1683.17,0.00,63.99
PERDÕES,699.27,0.00,699.27,0.00,63.99
ESPÍRITO SANTO DO DOURADO,249.12,0.00,249.12,0.00,63.99
ESTRELA DO INDAIÁ,87.38,0.00,87.38,0.00,63.99
ESTRELA DO SUL,126.59,0.00,126.59,0.00,63.99
FAMA,59.43,0.00,59.43,0.00,63.99
FELISBURGO,200.96,0.00,200.96,0.00,63.99
FERVEDOURO,300.00,0.00,300.00,0.00,63.99
FORMIGA,3665.08,0.00,3665.08,0.00,63.99
FREI GASPAR,97.14,0.00,97.14,0.00,63.99
