cod_prestador,nome_prestador,total_municipios_atendidos
31236011,Serviço Autônomo de Água e Esgoto,1
31259511,Serviço Autônomo de Água e Esgoto,1
31184011,Serviço Autônomo de Água e Esgoto,1
31377011,Serviço Autônomo de Água e Esgoto,1
31637011,Serviço Autônomo de Água e Esgoto,1
31141011,Serviço Autônomo de Água e Esgoto,1
31003011,Serviço Autônomo de Água e Esgoto,1
31011011,Serviço Autônomo de Água e Esgoto,1
31657011,Serviço Autônomo de Água e Esgoto,1
31199511,Serviço Autônomo de Água e Esgoto,1
31446011,Serviço Autônomo de Água e Esgoto,1
31568011,Serviço Autônomo de Água e Esgoto,1
31073011,Serviço Autônomo de Água e Esgoto,1
31322011,Serviço Autônomo de Água e Esgoto,1
31395011,Serviço Autônomo de Água e Esgoto,1
31094011,Serviço Autônomo de Água e Esgoto,1
31140011,Serviço Autônomo de Água e Esgoto,1
31100011,Serviço Autônomo de Água e Esgoto,1
31692011,Serviço Autônomo de Água e Esgoto,1
31390011,Serviço Autônomo de Água e Esgoto,1
31396011,Serviço Autônomo de Água e Esgoto,1
31295011,Serviço Autônomo de Água e Esgoto,1
31277011,Serviço Autônomo de Água e Esgoto,1
31540011,Serviço Autônomo de Água e Esgoto,1
31479011,Serviço Autônomo de Água e Esgoto,1
31071011,Serviço Autônomo de Água e Esgoto,1
31505011,Serviço Autônomo de Água e Esgoto,1
31113011,Serviço Autônomo de Água e Esgoto,1
31106011,Serviço Autônomo de Água e Esgoto,1
31261011,Serviço Autônomo de Água e Esgoto,1
31338011,Serviço Autônomo de Água e Esgoto,1
31456011,Serviço Autônomo de Água e Esgoto,1
31541011,Serviço Autônomo de Água e Esgoto,1
31312011,Serviço Autônomo de Água e Esgoto,1
31157011,Serviço Autônomo de Água e Esgoto,1
31281011,Serviço Autônomo de Água e Esgoto,1
31378011,Serviço Autônomo de Água e Esgoto,1
31694011,Serviço Autônomo de Água e Esgoto,1
31372011,Serviço Autônomo de Água e Esgoto,1
31660011,Serviço Autônomo de Água e Esgoto,1
31515011,Serviço Autônomo de Água e Esgoto,1
31187011,Serviço Autônomo de Água e Esgoto,1
31512011,Serviço Autônomo de Água e Esgoto,1
31267011,Serviço Autônomo de Água e Esgoto,1
31519012,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO,1
31222011,Serviço Autônomo de Água e Esgoto de Divinolândia de Minas,1
31284011,Serviço Autônomo de Água e Esgoto de Guarani,1
31303012,Serviço Autônomo de Água e Esgoto de Iguatama,1
31317011,Serviço Autônomo de Água e Esgoto de Itabira,1
31400011,Serviço Autônomo de Água e Esgoto de Mariana,1
31424012,Serviço Autônomo de Água e Esgoto de Moema,1
31465011,Serviço Autônomo de Água e Esgoto de Pains,1
31473011,Serviço Autônomo de Água e Esgoto de Paraisópolis,1
31569011,Serviço Autônomo de Água e Esgoto de Sacramento,1
31375011,Serviço Autônomo de Água e Esgotos,1
31680511,Serviço Autônomo de Água e Esgotos de Taparuba,1
31381011,Serviço Autônomo de Água e Esgotosl de Lassance,1
31672011,"Serviço Autônomo de Água, Esgoto e Saneamento Urbano",1
31094511,Serviço Autônomo de Saneamento de Cabeceira Grande,1
31319011,SERVIÇO AUTÔNOMO SANEAMENTO BÁSICO,1
31053011,"Serviço de Água, Esgoto e Limpeza Pública",1
31622011,Serviço de Autônomo de Água e Esgoto,1
31145011,Serviço de Saneamento Ambiental Municipal,1
31133011,Serviço Municipal de Saneamento Básico e Infraestrutura,1
31038012,Sistema Autônomo de Água e Esgoto,1
31035011,Superintendência de Água e Esgoto,1
31342011,Superintendência de Água e Esgotos de Ituiutaba,1
