codigo_ibge,nome_municipio,sigla_uf,perc_atendimento_agua,perc_atendimento_esgoto
311900,Cordislândia,MG,71.15,0.0
311910,Corinto,MG,77.55,57.89
311920,Coroaci,MG,52.51,0.0
311930,Coromandel,MG,72.34,0.0
311940,Coronel Fabriciano,MG,80.85,77.61
311950,Coronel Murta,MG,57.45,36.96
311970,Coronel Xavier Chaves,MG,54.9,0.0
311980,Córrego Danta,MG,58.14,0.0
312000,Córrego Novo,MG,72.02,0.0
312020,Cristais,MG,75.4,0.0
312030,Cristália,MG,43.07,22.35
312040,Cristiano Otoni,MG,75.68,59.12
312060,Crucilândia,MG,62.44,0.0
312070,Cruzeiro da Fortaleza,MG,85.59,0.0
312080,Cruzília,MG,86.16,80.92
312083,Cuparaque,MG,15.42,0.0
312087,Curral de Dentro,MG,74.67,0.0
312090,Curvelo,MG,85.71,74.15
312100,Datas,MG,59.69,0.0
312120,Delfinópolis,MG,53.19,48.14
312130,Descoberto,MG,80.95,0.0
312150,Desterro do Melo,MG,48.48,46.46
312160,Diamantina,MG,70.55,57.42
312180,Dionísio,MG,47.23,0.0
312190,Divinésia,MG,66.53,0.0
312200,Divino,MG,50.79,45.06
312210,Divino das Laranjeiras,MG,71.32,0.0
312230,Divinópolis,MG,94.38,85.24
312235,Divisa Alegre,MG,83.86,0.0
312240,Divisa Nova,MG,74.91,0.0
312245,Divisópolis,MG,66.03,27.81
312250,Dom Cavati,MG,79.36,0.0
312260,Dom Joaquim,MG,57.21,0.0
312270,Dom Silvério,MG,79.61,0.0
312290,Dona Eusébia,MG,77.7,0.0
312320,Dores do Indaiá,MG,81.58,77.72
312330,Dores do Turvo,MG,47.72,0.0
312352,Durandé,MG,33.06,0.0
312370,Engenheiro Caldas,MG,59.54,0.0
312380,Engenheiro Navarro,MG,60.12,36.45
312385,Entre Folhas,MG,68.92,0.0
312390,Entre Rios de Minas,MG,68.61,0.0
312400,Ervália,MG,52.76,0.0
312410,Esmeraldas,MG,66.53,14.19
312420,Espera Feliz,MG,60.83,0.0
312430,Espinosa,MG,59.05,5.14
312450,Estiva,MG,45.3,0.0
312460,Estrela Dalva,MG,68.67,0.0
312470,Estrela do Indaiá,MG,69.68,51.65
312480,Estrela do Sul,MG,69.23,35.47
312490,Eugenópolis,MG,60.49,0.0
312510,Extrema,MG,81.47,64.93
312520,Fama,MG,63.98,33.53
312530,Faria Lemos,MG,67.36,0.0
312570,Felixlândia,MG,73.36,0.0
312580,Fernandes Tourinho,MG,51.49,0.0
312590,Ferros,MG,31.95,0.0
312600,Florestal,MG,80.56,0.0
312620,Formoso,MG,59.94,0.0
312630,Fortaleza de Minas,MG,67.13,0.0
312660,Francisco Dumont,MG,62.98,25.38
312675,Franciscópolis,MG,44.35,0.0
312690,Frei Inocêncio,MG,67.39,0.0
312700,Fronteira,MG,75.12,68.75
312710,Frutal,MG,76.28,77.52
312720,Funilândia,MG,50.77,28.76
312735,Glaucilândia,MG,35.19,34.37
312738,Goianá,MG,75.83,0.0
312740,Gonçalves,MG,27.89,11.72
312760,Gouveia,MG,71.96,0.0
312780,Grão Mogol,MG,28.86,17.36
312790,Grupiara,MG,76.05,0.0
312820,Guaraciaba,MG,32.19,29.62
312825,Guaraciama,MG,55.78,0.0
312830,Guaranésia,MG,86.05,0.0
312850,Guarará,MG,79.57,0.0
312860,Guarda-Mor,MG,53.45,51.1
312870,Guaxupé,MG,87.94,83.54
312880,Guidoval,MG,63.36,0.0
312890,Guimarânia,MG,76.71,74.07
312900,Guiricema,MG,38.09,0.0
312910,Gurinhatã,MG,43.67,0.0
312920,Heliodora,MG,70.96,0.0
312930,Iapu,MG,63.94,0.0
312940,Ibertioga,MG,66.57,0.0
312960,Ibiaí,MG,64.96,25.71
312965,Ibiracatu,MG,58.58,0.0
312970,Ibiraci,MG,64.02,60.64
312980,Ibirité,MG,82.52,67.29
312990,Ibitiúra de Minas,MG,68.52,0.0
313005,Icaraí de Minas,MG,26.96,11.94
313010,Igarapé,MG,83.04,40.66
313020,Igaratinga,MG,56.54,0.0
313050,Ilicínea,MG,77.06,0.0
313055,Imbé de Minas,MG,30.49,0.0
313060,Inconfidentes,MG,53.03,0.0
313065,Indaiabira,MG,37.91,13.96
313070,Indianópolis,MG,63.63,0.0
313080,Ingaí,MG,57.81,0.0
313090,Inhapim,MG,45.85,27.89
313110,Inimutaba,MG,68.77,0.0
313115,Ipaba,MG,74.07,0.0
313130,Ipatinga,MG,85.04,92.2
313150,Ipuiúna,MG,71.37,54.77
313160,Iraí de Minas,MG,72.83,0.0
313180,Itabirinha,MG,59.91,49.59
313210,Itacarambi,MG,67.37,31.31
313240,Itajubá,MG,83.72,77.83
313250,Itamarandiba,MG,63.63,53.88
313260,Itamarati de Minas,MG,74.08,0.0
313290,Itamogi,MG,73.58,0.0
313300,Itamonte,MG,66.68,0.0
313320,Itanhomi,MG,66.87,0.0
313330,Itaobim,MG,69.32,33.84
313340,Itapagipe,MG,67.87,0.0
313350,Itapecerica,MG,72.75,56.54
313360,Itapeva,MG,50.2,41.31
