cod_munip,nome_munip,pop_munip,pop_atendida_agua,vol_agua_anual,vol_agua_eta,vol_agua_desinfec,vol_agua_fluor,pop_atendida_esgoto,vol_esgoto_coletado,vol_esgoto_tratado,amostra_cloro,amostra_cloro_irregular,amostra_turbidez,amostra_turbidez_irregular,amostra_coliformes,amostra_coliformes_irregular,,cod_prestador,nome_prestador,sigla_prestador,abrangencia_prestador,tipo_prestador,tipo_servico
311690,Comendador Gomes,3128,,,,,,1587,100.00,100.00,,,,,,,,31169011,Prefeitura Municipal de Comendador Gomes,PMCG,Local,Administração pública direta,Esgoto
311700,Comercinho,6624,3720,218.52,196.31,22.21,0.00,2219,92.85,0.00,4495,9,4457,126,308,0,,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
311710,Conceição da Aparecida,10351,6192,508.66,508.66,0.00,508.66,,,,3777,0,3760,0,181,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
311710,Conceição da Aparecida,10351,,,,,,6516,376.00,37.00,,,,,,,,31171011,Prefeitura Municipal de Conceição da Aparecida,PMCA,Local,Administração pública direta,Esgoto
311520,Conceição da Barra de Minas,3939,2617,157.79,0.00,157.79,157.79,1718,59.77,59.77,876,0,867,0,164,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
311730,Conceição das Alagoas,28782,28455,2900.00,0.00,2900.00,2900.00,28128,1451.00,0.00,180,22,180,0,180,0,,31173011,Prefeitura Municipal de Conceição das Alagoas,PMCA,Local,Administração pública direta,Água e Esgoto
311720,Conceição das Pedras,2814,2813,420.00,0.00,420.00,0.00,2814,85.00,0.00,75,40,75,2,75,3,,31172011,Prefeitura Municipal de Conceição das Pedras,PMCP,Local,Administração pública direta,Água e Esgoto
311740,Conceição de Ipanema,4581,4581,610.00,540.00,0.00,540.00,4581,506.00,0.00,4500,0,4500,5,285,5,,31174011,Prefeitura Municipal de Conceição de Ipanema,PMCI,Local,Administração pública direta,Água e Esgoto
311750,Conceição do Mato Dentro,17438,10428,1254.10,1254.10,0.00,1254.10,8401,472.13,287.45,9523,2,9523,66,388,2,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
311760,Conceição do Pará,5558,2154,201.06,201.06,0.00,201.06,1773,93.60,0.00,6603,10,6600,99,141,1,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
311770,Conceição do Rio Verde,13729,10814,789.34,394.67,394.67,789.34,,,,4575,0,4566,0,300,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
311780,Conceição dos Ouros,11852,8967,709.94,354.97,354.97,709.94,,,,4909,0,4881,345,270,4,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
311780,Conceição dos Ouros,11852,,,,,,9268,651.00,0.00,,,,,,,,31178011,Prefeitura Municipal de Conceição dos Ouros,PMCO,Local,Administração pública direta,Esgoto
311783,Cônego Marinho,7730,2056,84.54,0.00,84.54,84.54,,,,430,0,509,0,143,3,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
311787,Confins,6867,6608,1097.68,0.00,1097.68,1097.68,0,107.13,107.13,4475,0,4476,1,272,13,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
311790,Congonhal,12209,8672,583.66,583.66,0.00,583.66,8672,330.22,0.00,4233,2,4224,0,217,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
311800,Congonhas,55836,44690,3797.38,3641.68,155.70,3797.38,35741,1542.29,0.00,10934,0,10898,23,1068,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
311820,Conquista,6997,5432,425.78,399.32,26.46,425.78,4796,241.03,197.95,4634,0,4634,0,297,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
311830,Conselheiro Lafaiete,130584,108510,9321.43,9321.43,0.00,9321.43,96872,4165.91,2919.45,10849,3,10849,2,1092,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
311840,Conselheiro Pena,22975,22975,2288.35,2288.35,0.00,2288.35,22975,931.69,89.60,15082,0,13980,1563,976,0,,31184011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto
311850,Consolação,1786,982,61.00,61.00,0.00,0.00,982,41.00,0.00,6116,0,1158,0,216,0,,31185011,Prefeitura Municipal de Consolação,PMC,Local,Administração pública direta,Água e Esgoto
311860,Contagem,673849,581897,62549.06,62549.06,0.00,62549.06,547949,22847.62,22847.62,12162,3,12160,45,2911,60,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
311870,Coqueiral,9099,7585,573.82,500.38,73.44,500.38,7225,347.04,247.23,3166,30,3180,5,255,0,,31187011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto
311880,Coração de Jesus,26620,10676,720.10,360.05,360.05,720.10,5414,200.02,199.01,4214,0,4212,0,270,4,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
311890,Cordisburgo,8903,5841,472.15,0.00,472.15,472.15,3238,125.63,125.63,1088,0,1088,0,357,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
311900,Cordislândia,3546,2523,151.27,151.27,0.00,151.27,,,,3372,0,3367,0,121,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
311900,Cordislândia,3546,,,,,,2843,88.00,0.00,,,,,,,,31190011,Prefeitura Municipal de Cordislândia,PMC,Local,Administração pública direta,Esgoto
311910,Corinto,23607,18307,1456.54,15.38,1441.16,1456.54,13667,593.80,593.80,1594,0,2158,0,823,1,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
311920,Coroaci,9897,5197,307.27,227.77,79.50,307.27,,,,4600,0,4519,0,330,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
311920,Coroaci,9897,,,,,,5579,232.88,0.00,,,,,,,,31192011,Prefeitura Municipal de Coroaci,PMC,Local,Administração pública direta,Esgoto
311930,Coromandel,27958,20226,1813.16,1813.16,0.00,1813.16,,,,4219,1,4214,0,478,1,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
311930,Coromandel,27958,,,,,,20000,285.00,0.00,,,,,,,,31193011,Prefeitura Municipal de Coromandel,PMC,Local,Administração pública direta,Esgoto
311940,Coronel Fabriciano,110709,89505,9773.15,6515.43,3257.72,9773.15,85916,3311.72,1851.49,5901,1,5664,497,1236,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
311950,Coronel Murta,9209,5291,288.43,288.43,0.00,288.43,3404,127.27,127.27,2482,0,2485,0,158,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
311950,Coronel Murta,9209,1154,53.62,18.89,34.73,53.62,,,,2455,0,2439,138,426,0,,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água
311960,Coronel Pacheco,3095,2222,902.50,254.50,471.60,0.00,2222,95.50,0.00,4380,438,4380,75,12,1,,31196011,Prefeitura Municipal de Coronel Pacheco,PMCP,Local,Administração pública direta,Água e Esgoto
311970,Coronel Xavier Chaves,3448,1893,139.71,0.00,139.71,139.71,,,,1237,0,1229,1,156,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
311970,Coronel Xavier Chaves,3448,,,,,,1873,123.00,0.00,,,,,,,,31197011,Prefeitura Municipal de Coronel Xavier Chaves,PMCXC,Local,Administração pública direta,Esgoto
311980,Córrego Danta,3168,1842,161.89,51.78,110.11,161.89,,,,1378,0,883,0,265,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
311980,Córrego Danta,3168,,,,,,3050,520.00,0.00,,,,,,,,31198011,Prefeitura Municipal de Córrego Danta,PMCD,Local,Administração pública direta,Esgoto
311990,Córrego do Bom Jesus,3685,3545,575.00,370.00,0.00,0.00,976,125.00,0.00,232200,0,2420,0,780,0,,31199011,Prefeitura Municipal de Córrego do Bom Jesus,PMCBJ,Local,Administração pública direta,Água e Esgoto
311995,Córrego Fundo,6425,5659,621.37,0.00,621.37,0.00,4076,191.25,191.25,927,25,927,30,313,1,,31199511,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto
312000,Córrego Novo,2688,1936,160.35,160.35,0.00,160.35,,,,729,0,661,0,113,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312000,Córrego Novo,2688,,,,,,2688,155.00,0.00,,,,,,,,31200011,Prefeitura Municipal de Córrego Novo,PMCN,Local,Administração pública direta,Esgoto
312010,Couto de Magalhães de Minas,4436,3723,394.02,394.02,0.00,394.02,3385,159.89,159.89,4473,2,4473,6,237,2,,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
312015,Crisólita,6814,3834,179.54,173.61,0.00,17.95,3834,44.15,44.15,8854,125,8854,636,328,0,,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
312020,Cristais,13060,9847,657.49,657.49,0.00,657.49,,,,7317,0,7305,2,340,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312020,Cristais,13060,,,,,,13000,1900.00,1900.00,,,,,,,,31202011,Prefeitura Municipal de Cristais,PMC,Local,Administração pública direta,Esgoto
312030,Cristália,5992,2581,163.56,163.56,0.00,163.56,1339,46.45,46.45,1947,0,1946,0,133,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
312040,Cristiano Otoni,5161,3906,215.54,0.00,215.54,215.54,3051,106.09,0.00,1249,0,1249,0,112,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
312050,Cristina,10211,10200,1099.00,990.00,84.20,0.00,10100,800.00,0.00,4392,28,4320,98,72,4,,31205011,Prefeitura Municipal de Cristina,PMC,Local,Administração pública direta,Água e Esgoto
312060,Crucilândia,5072,3167,257.94,257.94,0.00,257.94,,,,2696,0,2696,0,138,2,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312060,Crucilândia,5072,,,,,,3176,242.00,0.00,,,,,,,,31206011,Prefeitura Municipal de Crucilândia,PMCRU,Local,Administração pública direta,Esgoto
312070,Cruzeiro da Fortaleza,3651,3125,256.51,130.88,125.63,256.51,,,,4982,0,4980,0,224,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312070,Cruzeiro da Fortaleza,3651,,,,,,3651,399.78,200.00,,,,,,,,31207011,Prefeitura Municipal de Cruzeiro da Fortaleza,PMCF,Local,Administração pública direta,Esgoto
312080,Cruzília,15529,13380,753.48,753.48,0.00,753.48,12566,483.72,0.00,10684,0,10658,2,334,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
312083,Cuparaque,5026,775,71.06,71.06,0.00,71.06,,,,1663,2,1663,0,99,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312083,Cuparaque,5026,,,,,,5026,100.00,0.00,,,,,,,,31208311,Prefeitura Municipal de Cuparaque,PMC,Local,Administração pública direta,Esgoto
312087,Curral de Dentro,7867,5874,243.71,243.71,0.00,243.71,,,,1569,0,1569,0,266,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312087,Curral de Dentro,7867,,,,,,5000,660.00,0.00,,,,,,,,31208711,Prefeitura Municipal de Curral de Dentro,PMCD,Local,Administração pública direta,Esgoto
312090,Curvelo,81085,69500,5956.42,7.35,5949.07,5956.42,60122,2431.19,2431.19,5690,1,5853,0,1508,1,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
312100,Datas,5431,3242,157.33,0.00,157.33,157.33,,,,518,0,516,0,177,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312100,Datas,5431,2179,109.71,0.00,0.00,0.00,3898,98.00,0.00,396,0,395,0,232,0,,31210011,Prefeitura Municipal de Datas,PMD,Local,Administração pública direta,Água e Esgoto
312110,Delfim Moreira,8007,3000,560.00,560.00,0.00,0.00,3000,310.00,0.00,4428,0,4528,0,50,0,,31211011,Prefeitura Municipal de Delfim Moreira,PMDM,Local,Administração pública direta,Água e Esgoto
312120,Delfinópolis,7146,3801,346.97,346.97,0.00,346.97,3440,185.28,181.65,3815,0,3801,0,138,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
312125,Delta,10994,10525,1350.00,0.00,1350.00,0.00,10089,1000.00,0.00,580,8,212,1,1,0,,31212511,Prefeitura Municipal de Delta,PMD,Local,Administração pública direta,Água e Esgoto
312130,Descoberto,5044,4083,440.11,440.11,0.00,440.11,,,,2262,0,2282,12,127,1,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312130,Descoberto,5044,,,,,,4305,425.00,0.00,,,,,,,,31213011,Prefeitura Municipal de Descoberto,PMD,Local,Administração pública direta,Esgoto
312140,Desterro de Entre Rios,7266,4325,690.00,310.00,0.00,0.00,3829,622.00,0.00,4320,118,4320,38,280,9,,31214011,Prefeitura Municipal de Desterro de Entre Rios,PMDER,Local,Administração pública direta,Água e Esgoto
312150,Desterro do Melo,2867,1390,102.99,102.99,0.00,102.99,1332,54.15,54.15,1069,0,929,0,112,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
312160,Diamantina,47924,33808,2424.65,808.22,1616.43,2424.65,27516,1102.46,529.75,7569,8,7571,342,909,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
312160,Diamantina,47924,6766,417.16,59.63,357.52,59.62,4499,151.95,151.95,8300,16,8300,4,2711,5,,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
312170,Diogo de Vasconcelos,3779,3325,180.00,102.00,0.00,0.00,1581,130.00,0.00,2815,44,2735,14,146,0,,31217011,Prefeitura Municipal de Diogo de Vasconcelos,PMDV,Local,Administração pública direta,Água e Esgoto
312180,Dionísio,7493,3539,280.71,280.71,0.00,280.71,,,,2291,0,2270,0,109,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312180,Dionísio,7493,,,,,,6143,796.00,0.00,,,,,,,,31218011,Prefeitura Municipal de Dionísio,PMD,Local,Administração pública direta,Esgoto
312190,Divinésia,3430,2282,176.48,88.24,88.24,176.48,,,,2008,0,1988,1,148,1,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312190,Divinésia,3430,,,,,,3000,64.00,0.00,,,,,,,,31219011,Prefeitura Municipal de Divinésia,PMD,Local,Administração pública direta,Esgoto
312200,Divino,20020,10169,754.30,754.30,0.00,754.30,9021,362.70,0.00,3998,1,3998,0,227,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
312210,Divino das Laranjeiras,4969,3544,222.03,222.03,0.00,222.03,,,,9271,1,9232,2,437,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312210,Divino das Laranjeiras,4969,,,,,,3950,120.00,0.00,,,,,,,,31221011,Prefeitura Municipal de Divino das Laranjeiras,PMDL,Local,Administração pública direta,Esgoto
312220,Divinolândia de Minas,7655,7200,740.00,500.00,240.00,0.00,5100,550.00,0.00,8900,0,10000,0,130,0,,31222011,Serviço Autônomo de Água e Esgoto de Divinolândia de Minas,SAAEDM,Local,Autarquia,Água e Esgoto
312230,Divinópolis,242505,228871,21047.45,15785.59,5261.86,21047.45,206723,8912.02,384.39,12432,7,12423,49,2653,20,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
312235,Divisa Alegre,6946,5825,308.95,0.00,308.95,308.95,,,,971,4,972,3,165,1,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312240,Divisa Nova,6039,4524,338.18,0.00,338.18,338.18,,,,847,0,831,0,133,2,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312240,Divisa Nova,6039,,,,,,4882,224.00,0.00,,,,,,,,31224011,Prefeitura Municipal de Divisa Nova,PMDN,Local,Administração pública direta,Esgoto
312245,Divisópolis,11396,7525,290.37,290.37,0.00,290.37,3169,79.19,79.19,2346,0,2345,1,172,1,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
312247,Dom Bosco,3635,3100,320.00,300.00,0.00,0.00,1200,120.00,0.00,290,14,311,23,4,0,,31224711,Prefeitura Municipal de Dom Bosco,PMDB,Local,Administração pública direta,Água e Esgoto
312250,Dom Cavati,5025,3988,338.80,338.80,0.00,338.80,,,,2411,0,2411,0,99,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312250,Dom Cavati,5025,,,,,,4486,350.00,0.00,,,,,,,,31225011,Prefeitura Municipal de Dom Cavati,PMDC,Local,Administração pública direta,Esgoto
312260,Dom Joaquim,4436,2538,230.32,230.32,0.00,230.32,,,,2120,0,2117,3,163,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312260,Dom Joaquim,4436,,,,,,1700,220.00,0.00,,,,,,,,31226011,Prefeitura Municipal de Dom Joaquim,PMDJ,Local,Administração pública direta,Esgoto
312270,Dom Silvério,5227,4161,281.74,281.74,0.00,281.74,,,,2299,0,2300,1,112,1,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312270,Dom Silvério,5227,,,,,,5200,300.00,0.00,,,,,,,,31227011,Prefeitura Municipal de Dom Silvério,PMDS,Local,Administração pública direta,Esgoto
312280,Dom Viçoso,2992,2990,236.30,162.00,74.30,0.00,2105,81.00,0.00,3650,60,3650,12,36,0,,31228011,Prefeitura Municipal de Dom Viçoso,PMDV,Local,Administração pública direta,Água e Esgoto
312290,Dona Eusébia,6664,5178,416.53,416.53,0.00,416.53,,,,3661,0,3627,0,280,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312290,Dona Eusébia,6664,,,,,,6643,350.00,0.00,,,,,,,,31229011,Prefeitura Municipal de Dona Eusébia,PMDE,Local,Administração pública direta,Esgoto
312300,Dores de Campos,10291,10291,715.52,688.12,0.00,0.00,9359,551.15,0.00,4380,383,108,20,108,24,,31230011,Prefeitura Municipal de Dores de Campos,PMDC,Local,Administração pública direta,Água e Esgoto
312310,Dores de Guanhães,5139,5100,548.95,252.28,252.28,0.00,,,,5000,180,5000,500,100,15,,31231011,Prefeitura Municipal de Dores de Guanhães,PMD,Local,Administração pública direta,Água
312320,Dores do Indaiá,13373,10910,905.97,905.97,0.00,905.97,10393,474.52,474.52,2812,1,2812,0,284,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
312330,Dores do Turvo,4202,2005,132.36,132.36,0.00,132.36,,,,1629,1,1613,2,139,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312330,Dores do Turvo,4202,,,,,,3393,568.00,0.00,,,,,,,,31233011,Prefeitura Municipal de Dores do Turvo,PMDT,Local,Administração pública direta,Esgoto
312350,Douradoquara,1915,1912,160.00,0.00,0.00,0.00,1912,88.77,0.00,120,0,120,0,120,0,,31235011,Prefeitura Municipal de Douradoquara,PMD,Local,Administração pública direta,Água e Esgoto
312352,Durandé,7898,2611,117.42,117.42,0.00,117.42,,,,2458,0,2458,3,93,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312352,Durandé,7898,,,,,,4860,625.00,0.00,,,,,,,,31235211,Prefeitura Municipal de Durandé,PMD,Local,Administração pública direta,Esgoto
312360,Elói Mendes,28556,22477,2103.97,2103.97,0.00,2103.97,22477,1683.17,0.00,3892,0,3892,0,363,0,,31236011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto
312370,Engenheiro Caldas,11268,6709,371.28,371.28,0.00,371.28,,,,4973,98,4916,92,254,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312370,Engenheiro Caldas,11268,,,,,,5000,524.00,0.00,,,,,,,,31237011,Prefeitura Municipal de Engenheiro Caldas,PMEC,Local,Administração pública direta,Esgoto
312380,Engenheiro Navarro,7240,4353,290.53,0.00,290.53,290.53,2639,90.82,83.72,511,0,511,0,146,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
312385,Entre Folhas,5383,3710,255.64,255.64,0.00,255.64,,,,2289,0,2290,2,95,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312390,Entre Rios de Minas,15458,10606,818.69,552.51,266.18,818.69,,,,9792,3,9794,2,354,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312390,Entre Rios de Minas,15458,,,,,,10502,1000.00,0.00,,,,,,,,31239011,Prefeitura Municipal de Entre Rios de Minas,PMERM,Local,Administração pública direta,Esgoto
312400,Ervália,19019,10034,795.51,795.51,0.00,795.51,,,,4314,0,4272,6,269,1,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312410,Esmeraldas,72512,48245,5320.77,380.06,4940.71,5320.77,10290,457.54,457.54,9371,46,9351,78,864,25,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
312420,Espera Feliz,25287,15383,997.91,997.91,0.00,997.91,,,,4403,0,4404,0,301,3,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312420,Espera Feliz,25287,,,,,,25287,1030.30,0.00,,,,,,,,31242011,Prefeitura Municipal de Espera Feliz,PMEF,Local,Administração pública direta,Esgoto
312430,Espinosa,31603,18661,1787.22,1787.22,0.00,1787.22,1623,50.26,50.26,8777,0,8764,5,960,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
312440,Espírito Santo do Dourado,4728,4710,311.40,311.40,0.00,311.40,4710,249.12,0.00,4332,0,4320,0,204,0,,31244011,Prefeitura Municipal de Espírito Santo do Dourado,PMESD,Local,Administração pública direta,Água e Esgoto
312450,Estiva,11416,5172,332.00,0.00,332.00,332.00,,,,2283,0,2303,0,212,5,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312450,Estiva,11416,,,,,,8010,310.00,0.00,,,,,,,,31245011,Prefeitura Municipal de Estiva,PME,Local,Administração pública direta,Esgoto
312460,Estrela Dalva,2308,1585,155.86,0.00,155.86,155.86,,,,817,3,825,0,136,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312460,Estrela Dalva,2308,,,,,,1764,61.81,0.00,,,,,,,,31246011,Prefeitura Municipal de Estrela Dalva,PMED,Local,Administração pública direta,Esgoto
312470,Estrela do Indaiá,3483,2427,213.93,0.00,213.93,213.93,1799,87.38,0.00,253,0,253,0,135,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
312480,Estrela do Sul,8057,5578,372.11,312.06,60.05,372.11,2858,126.59,0.00,4836,0,4837,5,287,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
312490,Eugenópolis,11383,6886,524.53,524.53,0.00,524.53,,,,5623,0,5633,162,173,3,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312500,Ewbank da Câmara,3932,3752,452.00,150.00,150.00,300.00,,,,0,0,0,0,0,0,,31250011,Prefeitura Municipal de Ewbank da Camara,PMEC,Local,Administração pública direta,Água
312510,Extrema,37649,30672,4034.72,4034.72,0.00,4034.72,24445,1648.30,960.88,11506,1,11433,0,594,3,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
312520,Fama,2374,1519,174.44,174.44,0.00,174.44,796,59.43,0.00,2188,3,2174,0,110,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
312530,Faria Lemos,3202,2157,453.02,0.00,453.02,453.02,,,,470,0,470,0,93,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312560,Felisburgo,7548,5312,341.56,341.56,0.00,84.33,4530,200.96,0.00,4387,1,4389,0,110,0,,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
312570,Felixlândia,15528,11391,767.83,348.77,419.06,767.83,,,,3749,0,3751,0,483,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312580,Fernandes Tourinho,3500,1802,119.15,119.15,0.00,119.15,,,,675,0,656,0,112,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
312580,Fernandes Tourinho,3500,,,,,,2300,102.00,51.00,,,,,,,,31258011,Prefeitura Municipal de Fernandes Tourinho,PMFT,Local,Administração pública direta,Esgoto
312590,Ferros,9576,3060,219.96,219.96,0.00,219.96,,,,4468,0,4443,0,114,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
